city,pin_code,area_name,nqi_composite,grade,total_cognizable_crimes,aqi_avg,metro_stations_nearby,discom,supply_hours,road_condition,check_against_reference (see script header for detail per column),total_cognizable_crimes__verified_ok(y/n/partial),aqi_avg__verified_ok(y/n/partial),metro_stations_nearby__verified_ok(y/n/partial),discom__verified_ok(y/n/partial),supply_hours__verified_ok(y/n/partial),road_condition__verified_ok(y/n/partial),notes
Bangalore,560022,Yeshwanthpur,65,B,360,78.0,3,BESCOM,0.7,Average,,,,,,,,
Bangalore,560095,Koramangala 8th Blk,74,B,320,94.0,0,BESCOM,2.0,Good,,,,,,,,
Bangalore,560062,Konanakunte,61,C,410,96.0,2,BESCOM,0.7,Average,,,,,,,,
Bangalore,560045,Nagavara,64,C,360,94.0,0,BESCOM,0.7,Average,,,,,,,,
Bangalore,560105,Anekal,43,D,500,87.0,0,BESCOM,0.7,Poor,,,,,,,,
Bangalore,560102,HSR Layout,73,B,320,93.0,0,BESCOM,2.0,Good,,,,,,,,
Bangalore,560065,Jakkur,57,C,410,89.0,0,BESCOM,0.7,Average,,,,,,,,
Bangalore,560025,Richmond Town,73,B,320,94.0,0,BESCOM,2.0,Good,,,,,,,,
Bangalore,560072,Nagarbhavi,59,C,410,85.0,0,BESCOM,0.7,Average,,,,,,,,
Bangalore,560087,Varthur,52,C,460,88.0,0,BESCOM,0.7,Poor,,,,,,,,
Bangalore,560064,Yelahanka New Town,62,C,410,89.0,0,BESCOM,0.7,Average,,,,,,,,
Bangalore,560041,Jayanagar 4th Block,75,B,320,94.0,4,BESCOM,2.0,Good,,,,,,,,
Bangalore,560097,Byatarayanapura,60,C,410,92.0,0,BESCOM,0.7,Average,,,,,,,,
Bangalore,560079,Basaveshwaranagar,69,B,360,62.0,1,BESCOM,2.0,Average,,,,,,,,
Bangalore,560008,Ulsoor,75,B,320,89.0,2,BESCOM,2.0,Good,,,,,,,,
Chandigarh,160001,Sectors 1-5 · Capitol Complex,74,B+,118,164.0,0,CPDL,9,Excellent,,,,,,,,
Chandigarh,160011,Sectors 10-11,74,B+,152,117.0,0,CPDL,8,Excellent,,,,,,,,
Chandigarh,160017,Sector 17 · City Centre,68,B,402,200.0,0,CPDL,7,Excellent,,,,,,,,
Chandigarh,160018,Sector 18,71,B+,214,177.0,0,CPDL,7,Good,,,,,,,,
Chandigarh,160102,Mauli Jagran · Raipur Kalan,60,B,434,197.0,0,CPDL,4,Average,,,,,,,,
Chandigarh,160019,"Sectors 6-7, 19, 26-27",72,B+,187,182.0,0,CPDL,8,Good,,,,,,,,
Chandigarh,160012,Sector 12 · PEC,77,B+,133,132.0,0,CPDL,9,Excellent,,,,,,,,
Chandigarh,160023,Sector 23,68,B,205,232.0,0,CPDL,7,Good,,,,,,,,
